ema_period,atr_period,multiplier,0
147,29,3.8375289198948552,49.94877049180328
147,48,4.688647860474948,51.098901098901095
148,32,7.1312659897544455,50.171821305841924
150,34,4.932363581964735,50.10295126973233
151,35,4.745877098799648,50.620509470934024
152,29,6.237396956961809,50.27746947835738
152,34,9.900000000000007,41.02564102564102
152,41,7.255050543156014,50.16835016835017
154,43,5.461357773165362,49.218106995884774
156,40,5.880975666333221,50.04897159647405
156,42,9.87065004279117,50.955414012738856
157,37,9.51134604705761,51.66666666666667
160,27,8.836392168630201,46.902654867256636
160,31,6.411495279701038,49.3006993006993
161,34,8.452891993173626,48.92966360856269
162,25,3.387842548816159,49.92894362861203
163,41,2.780243769007421,52.218430034129696
166,34,7.121828174085594,50.505050505050505
167,10,6.70501736567491,46.73495518565941
169,30,1.1777078985810596,52.65095729013255
170,37,8.032083845532524,49.44320712694877
172,27,9.325484279999928,48.78048780487805
174,31,7.140058062177243,48.68238557558946
174,33,1.0472501871570348,52.25903614457831
174,33,4.4560321379091885,50.02946375957572
175,25,4.168243585576397,49.972987574284176
175,49,6.631522278202932,51.578947368421055
182,28,5.838621096629439,49.195596951735816
187,15,8.75911498662699,47.93103448275862
189,28,2.5400381589043617,49.978476108480415
189,38,9.900000000000007,49.30232558139535
192,26,8.316485216556211,50.11820330969267
194,49,7.152292628839251,51.03092783505154
197,38,6.393589246507685,49.90439770554494
199,18,5.310396016128494,51.19291070211316
201,22,5.074876467436733,49.1025641025641
201,35,9.900000000000007,49.78354978354979
201,40,9.584274874848413,47.6027397260274
201,41,9.900000000000007,48.249027237354085
201,42,5.784355036641042,48.79000780640125
201,47,9.900000000000007,46.15384615384615
201,49,9.900000000000007,50.19011406844106
